Row,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15
0,2,3,3,4,6,5,6,27,99,0,18,81,0,0,4,42
1,2,3,3,6,3,3,1,27,99,0,18,81,0,0,4,42
2,2,3,4,2,6,5,2,27,99,0,18,81,0,0,4,42
3,2,3,4,5,5,5,5,27,99,0,18,81,0,0,4,42
4,2,4,3,2,6,5,2,27,99,0,18,81,0,0,4,42
5,2,4,3,5,5,5,5,27,99,0,18,81,0,0,4,42
6,2,4,4,2,2,6,6,27,99,0,18,81,0,0,4,42
7,2,4,4,5,1,5,2,27,99,0,18,81,0,0,4,42
8,2,5,5,4,4,4,1,27,99,0,18,81,0,0,4,42
9,2,5,5,6,1,4,3,27,99,0,18,81,0,0,4,42
10,2,5,6,2,2,1,2,27,99,0,18,81,0,0,4,42
11,2,5,6,3,4,4,3,27,99,0,18,81,0,0,4,42
12,2,6,5,2,2,1,2,27,99,0,18,81,0,0,4,42
13,2,6,5,3,4,4,3,27,99,0,18,81,0,0,4,42
14,2,6,6,2,3,1,4,27,99,0,18,81,0,0,4,42
15,2,6,6,3,5,1,5,27,99,0,18,81,0,0,4,42
16,3,2,2,4,1,2,5,27,99,0,18,81,0,0,4,42
17,3,2,4,3,1,2,1,27,99,0,18,81,0,0,4,42
18,3,2,5,4,2,2,2,27,99,0,18,81,0,0,4,42
19,3,2,6,3,4,4,6,27,99,0,18,81,0,0,4,42
20,3,4,2,3,1,2,1,27,99,0,18,81,0,0,4,42
21,3,4,4,6,2,2,1,27,99,0,18,81,0,0,4,42
22,3,4,5,6,5,2,5,27,99,0,18,81,0,0,4,42
23,3,4,6,3,6,4,3,27,99,0,18,81,0,0,4,42
24,3,5,2,4,2,2,2,27,99,0,18,81,0,0,4,42
25,3,5,4,6,5,2,5,27,99,0,18,81,0,0,4,42
26,3,5,5,3,5,2,2,27,99,0,18,81,0,0,4,42
27,3,5,6,2,4,4,3,27,99,0,18,81,0,0,4,42
28,3,6,2,3,4,4,6,27,99,0,18,81,0,0,4,42
29,3,6,4,3,6,4,3,27,99,0,18,81,0,0,4,42
30,3,6,5,2,4,4,3,27,99,0,18,81,0,0,4,42
31,3,6,6,2,5,1,5,27,99,0,18,81,0,0,4,42
32,4,2,2,3,1,2,5,27,99,0,18,81,0,0,4,42
33,4,2,2,4,5,1,1,27,99,0,18,81,0,0,4,42
34,4,2,5,3,2,2,2,27,99,0,18,81,0,0,4,42
35,4,2,5,4,6,2,5,27,99,0,18,81,0,0,4,42
36,4,3,3,2,6,5,6,27,99,0,18,81,0,0,4,42
37,4,3,3,6,1,3,4,27,99,0,18,81,0,0,4,42
38,4,3,6,4,5,5,6,27,99,0,18,81,0,0,4,42
39,4,3,6,5,2,5,2,27,99,0,18,81,0,0,4,42
40,4,5,2,3,2,2,2,27,99,0,18,81,0,0,4,42
41,4,5,2,4,6,2,5,27,99,0,18,81,0,0,4,42
42,4,5,5,2,4,4,1,27,99,0,18,81,0,0,4,42
43,4,5,5,6,6,2,6,27,99,0,18,81,0,0,4,42
44,4,6,3,4,5,5,6,27,99,0,18,81,0,0,4,42
45,4,6,3,5,2,5,2,27,99,0,18,81,0,0,4,42
46,4,6,6,4,1,6,5,27,99,0,18,81,0,0,4,42
47,4,6,6,5,5,5,1,27,99,0,18,81,0,0,4,42
48,5,2,2,6,5,6,5,27,99,0,18,81,0,0,4,42
49,5,2,3,6,3,3,4,27,99,0,18,81,0,0,4,42
50,5,2,4,5,3,3,6,27,99,0,18,81,0,0,4,42
51,5,2,6,5,6,3,4,27,99,0,18,81,0,0,4,42
52,5,3,2,6,3,3,4,27,99,0,18,81,0,0,4,42
53,5,3,3,5,2,5,5,27,99,0,18,81,0,0,4,42
54,5,3,4,2,5,5,5,27,99,0,18,81,0,0,4,42
55,5,3,6,4,2,5,2,27,99,0,18,81,0,0,4,42
56,5,4,2,5,3,3,6,27,99,0,18,81,0,0,4,42
57,5,4,3,2,5,5,5,27,99,0,18,81,0,0,4,42
58,5,4,4,2,1,5,2,27,99,0,18,81,0,0,4,42
59,5,4,6,5,1,5,1,27,99,0,18,81,0,0,4,42
60,5,6,2,5,6,3,4,27,99,0,18,81,0,0,4,42
61,5,6,3,4,2,5,2,27,99,0,18,81,0,0,4,42
62,5,6,4,5,1,5,1,27,99,0,18,81,0,0,4,42
63,5,6,6,4,5,5,1,27,99,0,18,81,0,0,4,42
64,6,2,2,5,5,6,5,27,99,0,18,81,0,0,4,42
65,6,2,2,6,4,6,3,27,99,0,18,81,0,0,4,42
66,6,2,3,5,3,3,4,27,99,0,18,81,0,0,4,42
67,6,2,3,6,2,6,2,27,99,0,18,81,0,0,4,42
68,6,3,2,5,3,3,4,27,99,0,18,81,0,0,4,42
69,6,3,2,6,2,6,2,27,99,0,18,81,0,0,4,42
70,6,3,3,2,3,3,1,27,99,0,18,81,0,0,4,42
71,6,3,3,4,1,3,4,27,99,0,18,81,0,0,4,42
72,6,4,4,3,2,2,1,27,99,0,18,81,0,0,4,42
73,6,4,4,6,6,1,2,27,99,0,18,81,0,0,4,42
74,6,4,5,3,5,2,5,27,99,0,18,81,0,0,4,42
75,6,4,5,6,2,2,6,27,99,0,18,81,0,0,4,42
76,6,5,4,3,5,2,5,27,99,0,18,81,0,0,4,42
77,6,5,4,6,2,2,6,27,99,0,18,81,0,0,4,42
78,6,5,5,2,1,4,3,27,99,0,18,81,0,0,4,42
79,6,5,5,4,6,2,6,27,99,0,18,81,0,0,4,42
END
